,suspicious_value,group_statistics,conditions,tree_depth,uses_NA_branch,outlier_score
38,{},{},[],,,
39,{},{},[],,,
40,{},{},[],,,
41,{},{},[],,,
42,{},{},[],,,
43,{},{},[],,,
44,{},{},[],,,
45,{},{},[],,,
46,{},{},[],,,
47,"{'column': 'A19', 'value': 0.010817257, 'decimals': 2}","{'lower_thr': 0.089383744, 'pct_above': 0.9661016949152542, 'mean': 0.693493039017544, 'sd': 0.5942226213270971, 'n_obs': 57}","[{'column': 'A18', 'comparison': '<=', 'value_comp': 0.093563441, 'value_this': 0.093563441, 'decimals': 1}, {'column': 'A11', 'comparison': '<=', 'value_comp': 1.42642642, 'value_this': 0.877016694, 'decimals': 1}, {'column': 'A9', 'comparison': '<=', 'value_comp': 0.420487348, 'value_this': 0.420487348, 'decimals': 1}, {'column': 'A11', 'comparison': '>', 'value_comp': 0.58577676, 'value_this': 0.877016694, 'decimals': 1}]",4.0,0.0,0.012946927774592297
48,{},{},[],,,
49,{},{},[],,,
50,"{'column': 'A3', 'value': 7.966504323747006, 'decimals': 0}","{'upper_thr': 3.584122058, 'pct_below': 0.9978586723768736, 'mean': 0.9089058253025758, 'sd': 0.6102397272644631, 'n_obs': 466}","[{'column': 'A16', 'comparison': '>', 'value_comp': 0.782388958, 'value_this': 1.022851263, 'decimals': 1}, {'column': 'A2', 'comparison': '>', 'value_comp': 0.133306714, 'value_this': 0.203640486, 'decimals': 1}]",2.0,0.0,0.006668968035888155
51,{},{},[],,,
52,{},{},[],,,
53,{},{},[],,,
54,{},{},[],,,
55,{},{},[],,,
56,{},{},[],,,
57,{},{},[],,,
58,{},{},[],,,
59,{},{},[],,,
60,{},{},[],,,
61,{},{},[],,,
62,{},{},[],,,
63,{},{},[],,,
64,{},{},[],,,
65,{},{},[],,,
66,{},{},[],,,
67,{},{},[],,,
68,{},{},[],,,
69,{},{},[],,,
70,{},{},[],,,
71,{},{},[],,,
72,{},{},[],,,
73,{},{},[],,,
74,{},{},[],,,
75,{},{},[],,,
76,{},{},[],,,
77,{},{},[],,,
78,{},{},[],,,
79,{},{},[],,,
80,{},{},[],,,
81,{},{},[],,,
82,{},{},[],,,
83,"{'column': 'A16', 'value': 6.455647711654987, 'decimals': 0}","{'upper_thr': 3.004892346, 'pct_below': 0.975609756097561, 'mean': 0.7036315887249999, 'sd': 0.5809505212267798, 'n_obs': 120}","[{'column': 'A4', 'comparison': '>', 'value_comp': 1.757636954, 'value_this': 1.7639396369999998, 'decimals': 1}]",1.0,0.0,0.009947059485023097
84,{},{},[],,,
85,{},{},[],,,
86,{},{},[],,,
87,{},{},[],,,
88,{},{},[],,,
89,{},{},[],,,
90,{},{},[],,,
91,{},{},[],,,
92,{},{},[],,,
93,{},{},[],,,
94,"{'column': 'A18', 'value': 7.47378546118935, 'decimals': 0}","{'upper_thr': 1.817744802, 'pct_below': 0.9891107078039928, 'mean': 0.43995900011376204, 'sd': 0.2956156256431826, 'n_obs': 1090}","[{'column': 'A16', 'comparison': '<=', 'value_comp': 0.722273382, 'value_this': 0.54015372, 'decimals': 1}]",1.0,0.0,0.0016687502202987884
95,{},{},[],,,
96,{},{},[],,,
97,{},{},[],,,
98,{},{},[],,,
99,{},{},[],,,
100,{},{},[],,,
101,{},{},[],,,
102,{},{},[],,,
103,{},{},[],,,
104,{},{},[],,,
105,{},{},[],,,
106,{},{},[],,,
107,{},{},[],,,
108,{},{},[],,,
109,{},{},[],,,
110,{},{},[],,,
111,{},{},[],,,
112,{},{},[],,,
113,{},{},[],,,
114,{},{},[],,,
115,{},{},[],,,
116,{},{},[],,,
117,{},{},[],,,
118,{},{},[],,,
119,{},{},[],,,
120,{},{},[],,,
121,{},{},[],,,
122,{},{},[],,,
123,{},{},[],,,
124,{},{},[],,,
125,{},{},[],,,
126,{},{},[],,,
127,{},{},[],,,
128,{},{},[],,,
129,"{'column': 'A16', 'value': 1.802580821, 'decimals': 1}","{'upper_thr': 0.902620111, 'pct_below': 0.9981343283582089, 'mean': 0.21704283020186932, 'sd': 0.16123641217340753, 'n_obs': 535}","[{'column': 'A0', 'comparison': '<=', 'value_comp': 1.053258055, 'value_this': 0.004912315, 'decimals': 1}, {'column': 'A18', 'comparison': '<=', 'value_comp': 0.38920734, 'value_this': 0.251272832, 'decimals': 1}, {'column': 'A18', 'comparison': '<=', 'value_comp': 0.714268731, 'value_this': 0.251272832, 'decimals': 1}]",3.0,0.0,0.009136219751577952
130,{},{},[],,,
131,{},{},[],,,
132,{},{},[],,,
133,{},{},[],,,
134,{},{},[],,,
135,{},{},[],,,
136,{},{},[],,,
137,{},{},[],,,
138,{},{},[],,,
139,{},{},[],,,
140,{},{},[],,,
141,{},{},[],,,
142,{},{},[],,,
143,{},{},[],,,
144,{},{},[],,,
145,{},{},[],,,
146,{},{},[],,,
147,{},{},[],,,
148,{},{},[],,,
149,"{'column': 'A12', 'value': 4.638230530568374, 'decimals': 0}","{'upper_thr': 1.874394045, 'pct_below': 0.9919354838709677, 'mean': 1.2072375158455284, 'sd': 0.292357103643582, 'n_obs': 123}","[{'column': 'A19', 'comparison': '>', 'value_comp': 0.657189414, 'value_this': 1.647433601, 'decimals': 1}, {'column': 'A13', 'comparison': '>', 'value_comp': 0.620335254, 'value_this': 0.754699672, 'decimals': 1}, {'column': 'A8', 'comparison': '>', 'value_comp': 0.411635995, 'value_this': 0.75907246, 'decimals': 1}, {'column': 'A11', 'comparison': '>', 'value_comp': 0.718158548, 'value_this': 1.353591131, 'decimals': 1}]",4.0,0.0,0.006223966737905732
150,{},{},[],,,
151,{},{},[],,,
152,{},{},[],,,
153,{},{},[],,,
154,"{'column': 'A16', 'value': 6.765106174361542, 'decimals': 0}","{'upper_thr': 3.004892346, 'pct_below': 0.9954198473282443, 'mean': 1.0074757688450922, 'sd': 0.40696229451111365, 'n_obs': 652}","[{'column': 'A2', 'comparison': '<=', 'value_comp': 0.324623822, 'value_this': 0.1684736, 'decimals': 1}, {'column': 'A18', 'comparison': '>', 'value_comp': 0.714268731, 'value_this': 1.886712057, 'decimals': 1}]",2.0,0.0,0.0040573692434017
155,"{'column': 'A18', 'value': 8.265799308288585, 'decimals': 0}","{'upper_thr': 2.71431911, 'pct_below': 0.9910380881254668, 'mean': 0.5680870879487568, 'sd': 0.4179124624845786, 'n_obs': 1327}","[{'column': 'A0', 'comparison': '<=', 'value_comp': 1.264892129, 'value_this': 0.322363426, 'decimals': 1}]",1.0,0.0,0.0027369400545103396
156,{},{},[],,,
157,{},{},[],,,
158,{},{},[],,,
159,{},{},[],,,
160,{},{},[],,,
161,{},{},[],,,
162,{},{},[],,,
163,{},{},[],,,
164,{},{},[],,,
165,{},{},[],,,
166,{},{},[],,,
167,{},{},[],,,
168,{},{},[],,,
169,{},{},[],,,
170,{},{},[],,,
171,{},{},[],,,
172,{},{},[],,,
173,{},{},[],,,
174,{},{},[],,,
175,"{'column': 'A11', 'value': 5.0842093575968255, 'decimals': 0}","{'upper_thr': 2.70388537, 'pct_below': 0.997874601487779, 'mean': 0.8066661629574013, 'sd': 0.4461404229468699, 'n_obs': 939}","[{'column': 'A12', 'comparison': '<=', 'value_comp': 1.268566067, 'value_this': 0.620191748, 'decimals': 1}, {'column': 'A12', 'comparison': '>', 'value_comp': 0.442007048, 'value_this': 0.620191748, 'decimals': 1}]",2.0,0.0,0.008982445205998531
176,{},{},[],,,
177,"{'column': 'A19', 'value': 0.144418591, 'decimals': 1}","{'lower_thr': 0.423387079, 'pct_above': 0.9926470588235294, 'mean': 0.6526690682180449, 'sd': 0.048781183570378105, 'n_obs': 133}","[{'column': 'A8', 'comparison': '>', 'value_comp': 0.630673402, 'value_this': 2.033006167, 'decimals': 1}, {'column': 'A9', 'comparison': '>', 'value_comp': 0.420487348, 'value_this': 9.452125091163397, 'decimals': 1}, {'column': 'A11', 'comparison': '>', 'value_comp': 0.58577676, 'value_this': 1.433020204, 'decimals': 1}]",3.0,0.0,0.0015469849660560355
178,{},{},[],,,
179,{},{},[],,,
180,{},{},[],,,
181,{},{},[],,,
182,"{'column': 'A17', 'value': 4.953397621640017, 'decimals': 0}","{'upper_thr': 2.871594747, 'pct_below': 0.9902182091798345, 'mean': 0.5120842108791792, 'sd': 0.34117087658797596, 'n_obs': 1316}","[{'column': 'A18', 'comparison': '<=', 'value_comp': 1.14784714, 'value_this': 0.182305577, 'decimals': 1}]",1.0,0.0,0.005481697208814797
183,{},{},[],,,
184,{},{},[],,,
185,{},{},[],,,
186,"{'column': 'A7', 'value': 5.315385917655049, 'decimals': 0}","{'upper_thr': 1.939083501, 'pct_below': 0.9921568627450981, 'mean': 0.5158722251343871, 'sd': 0.34208807830535337, 'n_obs': 253}","[{'column': 'A16', 'comparison': '>', 'value_comp': 0.600269296, 'value_this': 1.203197992, 'decimals': 1}, {'column': 'A8', 'comparison': '<=', 'value_comp': 1.093922023, 'value_this': 0.283236937, 'decimals': 1}, {'column': 'A12', 'comparison': '>', 'value_comp': 1.012198086, 'value_this': 1.019107488, 'decimals': 1}]",3.0,0.0,0.004708473304329815
187,{},{},[],,,
188,{},{},[],,,
189,{},{},[],,,
190,{},{},[],,,
191,{},{},[],,,
192,{},{},[],,,
193,{},{},[],,,
194,{},{},[],,,
195,{},{},[],,,
196,{},{},[],,,
197,{},{},[],,,
198,{},{},[],,,
199,"{'column': 'A12', 'value': 4.748834735815219, 'decimals': 0}","{'upper_thr': 2.444585084, 'pct_below': 0.9738562091503268, 'mean': 1.2669917762617455, 'sd': 0.3277595569341606, 'n_obs': 149}","[{'column': 'A14', 'comparison': '>', 'value_comp': 1.097401286, 'value_this': 1.998656888, 'decimals': 1}, {'column': 'A8', 'comparison': '>', 'value_comp': 0.411635995, 'value_this': 0.643260305, 'decimals': 1}, {'column': 'A11', 'comparison': '>', 'value_comp': 0.718158548, 'value_this': 1.406543846, 'decimals': 1}]",3.0,0.0,0.008791253664729529
200,"{'column': 'A16', 'value': 7.474741858423137, 'decimals': 0}","{'upper_thr': 3.00666528, 'pct_below': 0.9629629629629629, 'mean': 1.9138734341923074, 'sd': 0.5956709722040324, 'n_obs': 52}","[{'column': 'A17', 'comparison': '>', 'value_comp': 1.725467532, 'value_this': 1.980859881, 'decimals': 1}, {'column': 'A18', 'comparison': '>', 'value_comp': 0.714268731, 'value_this': 2.024646566, 'decimals': 1}]",2.0,0.0,0.011064005959400462
201,{},{},[],,,
202,{},{},[],,,
203,{},{},[],,,
204,{},{},[],,,
205,{},{},[],,,
206,{},{},[],,,
207,{},{},[],,,
208,{},{},[],,,
209,{},{},[],,,
210,{},{},[],,,
211,{},{},[],,,
212,{},{},[],,,
213,{},{},[],,,
214,{},{},[],,,
215,{},{},[],,,
216,{},{},[],,,
217,{},{},[],,,
218,{},{},[],,,
219,"{'column': 'A19', 'value': 1.981436937, 'decimals': 0}","{'upper_thr': 0.690589748, 'pct_below': 0.9724137931034482, 'mean': 0.6221874438581555, 'sd': 0.10121792070687155, 'n_obs': 141}","[{'column': 'A11', 'comparison': '<=', 'value_comp': 1.558808208, 'value_this': 1.088827555, 'decimals': 1}, {'column': 'A9', 'comparison': '>', 'value_comp': 0.420487348, 'value_this': 1.260000366, 'decimals': 1}, {'column': 'A11', 'comparison': '>', 'value_comp': 0.58577676, 'value_this': 1.088827555, 'decimals': 1}]",3.0,0.0,0.01548187221596457
220,{},{},[],,,
221,{},{},[],,,
222,{},{},[],,,
223,{},{},[],,,
224,{},{},[],,,
225,{},{},[],,,
226,{},{},[],,,
227,{},{},[],,,
228,{},{},[],,,
229,{},{},[],,,
230,{},{},[],,,
231,{},{},[],,,
232,"{'column': 'A18', 'value': 5.663350772359101, 'decimals': 0}","{'upper_thr': 2.71431911, 'pct_below': 0.9910380881254668, 'mean': 0.5680870879487568, 'sd': 0.4179124624845786, 'n_obs': 1327}","[{'column': 'A0', 'comparison': '<=', 'value_comp': 1.264892129, 'value_this': 0.100904722, 'decimals': 1}]",1.0,0.0,0.006244041524395429
233,{},{},[],,,
234,{},{},[],,,
235,{},{},[],,,
236,{},{},[],,,
237,{},{},[],,,
238,"{'column': 'A3', 'value': 7.404010148524391, 'decimals': 0}","{'upper_thr': 2.424123562, 'pct_below': 0.9743589743589743, 'mean': 0.8264367329736846, 'sd': 0.5587207626480757, 'n_obs': 152}","[{'column': 'A14', 'comparison': '>', 'value_comp': 1.44140775, 'value_this': 1.998656888, 'decimals': 1}]",1.0,0.0,0.007538544772412821
239,{},{},[],,,
240,{},{},[],,,
241,{},{},[],,,
242,{},{},[],,,
243,{},{},[],,,
244,{},{},[],,,
245,{},{},[],,,
246,{},{},[],,,
247,{},{},[],,,
248,{},{},[],,,
249,{},{},[],,,
250,{},{},[],,,
251,{},{},[],,,
252,{},{},[],,,
253,{},{},[],,,
254,{},{},[],,,
255,{},{},[],,,
256,{},{},[],,,
257,"{'column': 'A16', 'value': 5.892348322899928, 'decimals': 0}","{'upper_thr': 3.00666528, 'pct_below': 0.9972067039106145, 'mean': 0.5916965309789918, 'sd': 0.4447820838288536, 'n_obs': 714}","[{'column': 'A3', 'comparison': '<=', 'value_comp': 0.591769291, 'value_this': 0.109916926, 'decimals': 1}]",1.0,0.0,0.005838503071195308
258,"{'column': 'A3', 'value': 8.881331219463691, 'decimals': 0}","{'upper_thr': 2.424123562, 'pct_below': 0.9743589743589743, 'mean': 0.8264367329736846, 'sd': 0.5587207626480757, 'n_obs': 152}","[{'column': 'A14', 'comparison': '>', 'value_comp': 1.44140775, 'value_this': 1.654650424, 'decimals': 1}]",1.0,0.0,0.0050223263373234475
259,{},{},[],,,
260,{},{},[],,,
261,{},{},[],,,
262,{},{},[],,,
263,{},{},[],,,
264,{},{},[],,,
265,{},{},[],,,
266,{},{},[],,,
267,{},{},[],,,
268,{},{},[],,,
269,{},{},[],,,
270,{},{},[],,,
271,{},{},[],,,
272,{},{},[],,,
273,{},{},[],,,
274,{},{},[],,,
275,{},{},[],,,
276,{},{},[],,,
277,{},{},[],,,
278,{},{},[],,,
279,{},{},[],,,
280,{},{},[],,,
281,{},{},[],,,
282,{},{},[],,,
283,{},{},[],,,
284,{},{},[],,,
285,"{'column': 'A0', 'value': 7.013843153075872, 'decimals': 0}","{'upper_thr': 2.544521203, 'pct_below': 0.9929266136162688, 'mean': 0.6094087729884243, 'sd': 0.43325339488110864, 'n_obs': 1123}","[{'column': 'A17', 'comparison': '<=', 'value_comp': 0.8315943109999999, 'value_this': 0.129265352, 'decimals': 1}]",1.0,0.0,0.004400964759501982
286,{},{},[],,,
287,{},{},[],,,
288,{},{},[],,,
289,{},{},[],,,
290,{},{},[],,,
291,{},{},[],,,
292,{},{},[],,,
293,{},{},[],,,
294,"{'column': 'A19', 'value': 0.010817257, 'decimals': 2}","{'lower_thr': 0.044217591, 'pct_above': 0.991304347826087, 'mean': 0.5105930310580068, 'sd': 0.8416748121200173, 'n_obs': 228}","[{'column': 'A0', 'comparison': '>', 'value_comp': 0.8514486109999999, 'value_this': 1.053258055, 'decimals': 1}, {'column': 'A4', 'comparison': '<=', 'value_comp': 0.6835984740000001, 'value_this': 0.002125268, 'decimals': 1}, {'column': 'A11', 'comparison': '<=', 'value_comp': 0.58577676, 'value_this': 0.109202323, 'decimals': 1}]",3.0,0.0,0.010958419201530975
295,{},{},[],,,
296,{},{},[],,,
297,{},{},[],,,
298,{},{},[],,,
299,"{'column': 'A13', 'value': 0.015319887, 'decimals': 2}","{'lower_thr': 0.070321284, 'pct_above': 0.996, 'mean': 1.6899485040774058, 'sd': 1.4509842679250835, 'n_obs': 249}","[{'column': 'A9', 'comparison': '<=', 'value_comp': 0.420487348, 'value_this': 0.358247062, 'decimals': 1}, {'column': 'A11', 'comparison': '>', 'value_comp': 1.241091916, 'value_this': 1.3999500619999998, 'decimals': 1}]",2.0,0.0,0.006833736029097857
300,{},{},[],,,
301,{},{},[],,,
302,{},{},[],,,
303,{},{},[],,,
304,{},{},[],,,
305,{},{},[],,,
306,{},{},[],,,
307,{},{},[],,,
308,"{'column': 'A18', 'value': 7.114548041911656, 'decimals': 0}","{'upper_thr': 2.71431911, 'pct_below': 0.9910380881254668, 'mean': 0.5680870879487568, 'sd': 0.4179124624845786, 'n_obs': 1327}","[{'column': 'A0', 'comparison': '<=', 'value_comp': 1.264892129, 'value_this': 0.312538796, 'decimals': 1}]",1.0,0.0,0.0037836434716962707
309,{},{},[],,,
310,{},{},[],,,
311,"{'column': 'A14', 'value': 7.693028339033103, 'decimals': 0}","{'upper_thr': 4.062695671, 'pct_below': 0.991869918699187, 'mean': 0.7937051759653221, 'sd': 0.5705249975211947, 'n_obs': 1586}","[{'column': 'A18', 'comparison': '>', 'value_comp': 0.024596186000000003, 'value_this': 0.251272832, 'decimals': 1}]",1.0,0.0,0.006257181177279171
312,{},{},[],,,
313,"{'column': 'A16', 'value': 5.0513956439920715, 'decimals': 0}","{'upper_thr': 3.004892346, 'pct_below': 0.9954198473282443, 'mean': 1.0074757688450922, 'sd': 0.40696229451111365, 'n_obs': 652}","[{'column': 'A2', 'comparison': '<=', 'value_comp': 0.324623822, 'value_this': 0.17217399600000002, 'decimals': 1}, {'column': 'A18', 'comparison': '>', 'value_comp': 0.714268731, 'value_this': 0.734043613, 'decimals': 1}]",2.0,0.0,0.00821884341463075
314,{},{},[],,,
315,{},{},[],,,
316,{},{},[],,,
317,{},{},[],,,
318,{},{},[],,,
319,{},{},[],,,
320,{},{},[],,,
321,{},{},[],,,
322,{},{},[],,,
323,{},{},[],,,
324,{},{},[],,,
325,{},{},[],,,
326,{},{},[],,,
327,{},{},[],,,
328,{},{},[],,,
329,{},{},[],,,
330,{},{},[],,,
331,{},{},[],,,
332,{},{},[],,,
333,{},{},[],,,
334,{},{},[],,,
335,{},{},[],,,
336,{},{},[],,,
337,{},{},[],,,
338,{},{},[],,,
339,{},{},[],,,
340,{},{},[],,,
341,{},{},[],,,
342,{},{},[],,,
343,{},{},[],,,
344,{},{},[],,,
345,{},{},[],,,
346,{},{},[],,,
347,{},{},[],,,
348,{},{},[],,,
349,{},{},[],,,
350,{},{},[],,,
351,{},{},[],,,
352,{},{},[],,,
353,{},{},[],,,
354,{},{},[],,,
355,{},{},[],,,
356,"{'column': 'A8', 'value': 0.051612626, 'decimals': 1}","{'lower_thr': 0.18001168399999998, 'pct_above': 0.9629629629629629, 'mean': 0.8012923474230768, 'sd': 0.3868986980739337, 'n_obs': 26}","[{'column': 'A13', 'comparison': '<=', 'value_comp': 0.400329666, 'value_this': 0.070321284, 'decimals': 1}, {'column': 'A19', 'comparison': '>', 'value_comp': 0.189584744, 'value_this': 0.211219258, 'decimals': 1}, {'column': 'A19', 'comparison': '<=', 'value_comp': 0.490187746, 'value_this': 0.211219258, 'decimals': 1}, {'column': 'A12', 'comparison': '>', 'value_comp': 1.190382786, 'value_this': 1.332930546, 'decimals': 1}]",4.0,0.0,0.0040836268623905105
357,{},{},[],,,
358,{},{},[],,,
359,{},{},[],,,
360,{},{},[],,,
361,"{'column': 'A7', 'value': 4.8152985601994445, 'decimals': 0}","{'upper_thr': 1.6399561740000002, 'pct_below': 0.975, 'mean': 0.8016423012307693, 'sd': 0.41470693763372307, 'n_obs': 39}","[{'column': 'A17', 'comparison': '<=', 'value_comp': 0.06227891, 'value_this': 0.06227891, 'decimals': 1}, {'column': 'A4', 'comparison': '<=', 'value_comp': 0.780514409, 'value_this': 0.6835984740000001, 'decimals': 1}, {'column': 'A8', 'comparison': '>', 'value_comp': 0.295823839, 'value_this': 0.3990490920000001, 'decimals': 1}, {'column': 'A12', 'comparison': '<=', 'value_comp': 1.012198086, 'value_this': 0.940924207, 'decimals': 1}]",4.0,0.0,0.01064804394124094
362,{},{},[],,,
363,{},{},[],,,
364,{},{},[],,,
365,{},{},[],,,
366,{},{},[],,,
367,{},{},[],,,
368,{},{},[],,,
369,{},{},[],,,
370,{},{},[],,,
371,{},{},[],,,
372,{},{},[],,,
373,{},{},[],,,
374,{},{},[],,,
375,{},{},[],,,
376,{},{},[],,,
377,{},{},[],,,
378,{},{},[],,,
379,{},{},[],,,
380,{},{},[],,,
381,"{'column': 'A0', 'value': 5.369204149618653, 'decimals': 0}","{'upper_thr': 2.7463306480000003, 'pct_below': 0.9523809523809523, 'mean': 1.543076508925, 'sd': 0.49589595138793713, 'n_obs': 40}","[{'column': 'A16', 'comparison': '<=', 'value_comp': 1.443660297, 'value_this': 0.602042229, 'decimals': 1}, {'column': 'A17', 'comparison': '>', 'value_comp': 1.470075183, 'value_this': 1.533923271, 'decimals': 1}, {'column': 'A18', 'comparison': '>', 'value_comp': 1.059105003, 'value_this': 1.679810293, 'decimals': 1}]",3.0,0.0,0.015116047299744839
382,{},{},[],,,
383,{},{},[],,,
384,{},{},[],,,
385,"{'column': 'A10', 'value': 7.231817841, 'decimals': 0}","{'upper_thr': 3.2487844110000004, 'pct_below': 0.9953917050691244, 'mean': 0.5805404933217593, 'sd': 0.5023459153730125, 'n_obs': 432}","[{'column': 'A20', 'comparison': '<=', 'value_comp': 0.493293969, 'value_this': 0.493293969, 'decimals': 1}, {'column': 'A7', 'comparison': '<=', 'value_comp': 0.8727133690000001, 'value_this': 0.503272333, 'decimals': 1}]",2.0,0.0,0.004601042811307083
386,{},{},[],,,
387,{},{},[],,,
388,{},{},[],,,
389,{},{},[],,,
390,"{'column': 'A11', 'value': 5.454001862234658, 'decimals': 0}","{'upper_thr': 1.664713638, 'pct_below': 0.9933774834437086, 'mean': 0.707504573619167, 'sd': 0.39450926710800494, 'n_obs': 1200}","[{'column': 'A13', 'comparison': '<=', 'value_comp': 1.06034643, 'value_this': 0.644696878, 'decimals': 1}]",1.0,0.0,0.006821450833012335
391,{},{},[],,,
392,{},{},[],,,
393,{},{},[],,,
394,{},{},[],,,
395,"{'column': 'A16', 'value': 5.633877562056728, 'decimals': 0}","{'upper_thr': 3.00666528, 'pct_below': 0.9936974789915967, 'mean': 0.36258727288160675, 'sd': 0.28878530868468416, 'n_obs': 946}","[{'column': 'A18', 'comparison': '<=', 'value_comp': 0.714268731, 'value_this': 0.024596186000000003, 'decimals': 1}]",1.0,0.0,0.0020661486363847746
396,{},{},[],,,
397,{},{},[],,,
398,"{'column': 'A11', 'value': 5.18536415345278, 'decimals': 0}","{'upper_thr': 1.664713638, 'pct_below': 0.9933774834437086, 'mean': 0.707504573619167, 'sd': 0.39450926710800494, 'n_obs': 1200}","[{'column': 'A13', 'comparison': '<=', 'value_comp': 1.06034643, 'value_this': 0.345328269, 'decimals': 1}]",1.0,0.0,0.00766497798306326
399,{},{},[],,,
400,{},{},[],,,
401,{},{},[],,,
402,{},{},[],,,
403,{},{},[],,,
404,{},{},[],,,
405,{},{},[],,,
406,{},{},[],,,
407,{},{},[],,,
408,{},{},[],,,
409,{},{},[],,,
410,{},{},[],,,
411,{},{},[],,,
412,{},{},[],,,
413,{},{},[],,,
414,{},{},[],,,
415,{},{},[],,,
416,{},{},[],,,
417,{},{},[],,,
418,{},{},[],,,
419,{},{},[],,,
420,{},{},[],,,
421,{},{},[],,,
422,{},{},[],,,
423,{},{},[],,,
424,{},{},[],,,
425,"{'column': 'A12', 'value': 5.218512232771724, 'decimals': 0}","{'upper_thr': 1.439841365, 'pct_below': 0.9895561357702349, 'mean': 0.6181059089656993, 'sd': 0.43424892056631237, 'n_obs': 379}","[{'column': 'A4', 'comparison': '<=', 'value_comp': 0.668827589, 'value_this': 0.412511671, 'decimals': 1}]",1.0,0.0,0.009231898415480078
426,{},{},[],,,
427,{},{},[],,,
428,{},{},[],,,
429,{},{},[],,,
430,{},{},[],,,
431,{},{},[],,,
432,"{'column': 'A19', 'value': 11.942409746843607, 'decimals': 0}","{'upper_thr': 2.348840606, 'pct_below': 0.9951923076923077, 'mean': 0.6208337672475729, 'sd': 0.21740862124627255, 'n_obs': 206}","[{'column': 'A9', 'comparison': '<=', 'value_comp': 0.388636366, 'value_this': 0.358247062, 'decimals': 1}, {'column': 'A11', 'comparison': '<=', 'value_comp': 1.42642642, 'value_this': 1.062351197, 'decimals': 1}, {'column': 'A9', 'comparison': '<=', 'value_comp': 0.420487348, 'value_this': 0.358247062, 'decimals': 1}, {'column': 'A11', 'comparison': '>', 'value_comp': 0.58577676, 'value_this': 1.062351197, 'decimals': 1}]",4.0,0.0,0.003169569129170341
433,"{'column': 'A3', 'value': 7.107021105657111, 'decimals': 0}","{'upper_thr': 2.586336645, 'pct_below': 0.9971428571428571, 'mean': 0.9051095052177655, 'sd': 0.6118773805442416, 'n_obs': 349}","[{'column': 'A13', 'comparison': '>', 'value_comp': 1.115347827, 'value_this': 1.170349224, 'decimals': 1}, {'column': 'A2', 'comparison': '>', 'value_comp': 0.133306714, 'value_this': 0.203640486, 'decimals': 1}]",2.0,0.0,0.009074295032596519
434,{},{},[],,,
435,{},{},[],,,
