A0,A1,A2,A3,A4,A5,A6,A7,A8,label,reason
46,5,86,0,46,0,40,40,0,0.0,0
37,0,77,3,10,18,40,87,46,0.0,0
52,4,88,0,52,6,35,36,0,0.0,0
37,0,77,0,2,18,40,74,34,0.0,0
48,0,79,1,46,0,31,32,2,0.0,0
37,2,104,0,20,30,67,83,16,0.0,0
44,4,87,1,44,10,43,43,0,0.0,0
55,5,85,0,54,0,30,31,0,0.0,0
39,0,93,4,34,1,55,60,6,0.0,0
49,3,88,0,50,4,39,39,0,0.0,0
46,0,79,2,44,24,33,424,2,1.0,A7
39,2,97,0,38,0,58,59,0,0.0,0
40,0,84,0,38,0,45,46,2,0.0,0
43,0,81,0,42,21,37,39,2,0.0,0
49,0,83,0,46,7,34,424,2,1.0,A7
45,4,77,0,44,0,32,34,2,0.0,0
37,0,80,0,18,13,43,62,18,0.0,0
37,0,76,0,26,31,39,424,10,1.0,A7
45,0,102,0,46,24,57,56,0,0.0,0
43,0,87,2,42,8,44,46,2,0.0,0
56,1,81,6302,56,27,25,24,0,1.0,A3
55,0,86,1,56,26,31,30,0,0.0,0
53,2,86,0,537,16,33,34,2,1.0,A4
41,1,78,0,38,19,37,39,2,0.0,0
43,0,80,1,44,27,37,36,0,0.0,0
37,0,77,4,36,1,40,41,0,0.0,0
52,4,88,0,52,0,35,36,0,0.0,0
41,0,84,2,38,6,43,45,2,0.0,0
37,1,80,0,8,6,43,72,30,0.0,0
51,1,87,2,52,11,36,35,0,0.0,0
41,0,82,0,42,7,41,41,0,0.0,0
49,0,82,0,46,1,33,424,2,1.0,A7
46,1,83,0,46,7,37,36,0,0.0,0
108,0,81,0,44,17,36,37,2,1.0,A0
43,0,78,1,42,2,35,37,2,0.0,0
53,5,84,0,54,0,31,30,0,0.0,0
58,1,91,0,56,0,33,34,0,0.0,0
108,0,76,4,50,13,27,27,0,1.0,A0
49,3,84,0,46,14,35,37,2,0.0,0
37,0,106,0,18,6,69,88,18,0.0,0
37,2,83,4,34,0,45,49,4,0.0,0
51,6476,83,0,52,27,32,31,0,1.0,A1
40,1,88,3,537,0,48,50,2,1.0,A4
51,4,107,1,50,0,56,58,2,0.0,0
48,2,86,0,46,3,38,40,2,0.0,0
37,70,105,0,36,1,68,69,0,0.0,0
44,2,79,5,44,8,36,35,0,0.0,0
37,1,80,0,6,0,43,75,32,0.0,0
46,0,85,1,44,24,39,41,2,0.0,0
55,2,86,0,56,21,31,30,0,0.0,0
37,0,104,0,36,19,67,68,2,0.0,0
48,3,81,2,46,0,33,34,2,0.0,0
46,0,79,0,46,17,33,32,0,0.0,0
37,0,77,0,12,5,40,90,50,0.0,0
108,1,78,0,50,2,29,29,0,1.0,A0
53,0,86,0,54,15,33,32,0,0.0,0
41,0,77,0,42,5,36,36,0,0.0,0
37,1,81,3,36,5,44,44,0,0.0,0
41,0,84,2,38,9,43,45,2,0.0,0
45,0,81,1,44,9,36,37,2,0.0,0
57,0,85,3,56,0,28,28,0,0.0,0
41,6476,77,0,38,15,36,38,2,1.0,A1
41,2,83,0,42,8,41,41,0,0.0,0
47,5,106,0,46,0,60,60,476,1.0,A8
43,0,80,1,44,12,168,36,0,1.0,A6
37,0,77,0,38,30,40,39,0,0.0,0
43,1,85,0,42,2,42,44,2,0.0,0
44,0,83,0,42,12,39,41,2,0.0,0
37,0,106,3,28,0,69,78,8,0.0,0
41,0,86,0,42,11,46,45,0,0.0,0
56,1,108,0,54,1,52,53,2,0.0,0
37,0,79,0,12,16,42,66,24,0.0,0
108,0,79,8,46,0,32,32,0,1.0,A0
49,0,87,0,50,7,38,38,0,0.0,0
46,0,86,0,46,8,41,40,0,0.0,0
54,0,80,3,54,0,26,26,0,0.0,0
48,0,83,0,50,31,34,33,0,0.0,0
51,3,83,3,50,12,32,34,2,0.0,0
39,1,79,5,38,0,39,40,0,0.0,0
46,4,77,1,46,1,31,31,0,0.0,0
49,0,80,0,50,28,31,31,0,0.0,0
45,2,79,0,44,8,33,35,2,0.0,0
41,0,86,4,38,30,45,48,2,0.0,0
37,5,79,0,28,1,42,51,8,0.0,0
41,1,77,0,38,18,36,39,2,0.0,0
56,0,79,0,56,16,23,22,0,0.0,0
48,0,85,0,50,25,37,36,0,0.0,0
53,0,83,6302,52,18,30,32,2,1.0,A3
39,3,77,1,38,2,37,38,0,0.0,0
49,6476,78,5,50,0,29,29,0,1.0,A1
37,0,95,1,10,7,57,84,28,0.0,0
37,0,106,0,28,6,69,78,8,0.0,0
57,2,83,0,56,0,26,26,0,0.0,0
46,0,79,0,44,21,168,35,2,1.0,A6
49,4,238,0,50,6,34,34,0,1.0,A2
48,0,86,0,46,1,39,40,2,0.0,0
45,1,82,5,44,0,37,38,2,0.0,0
51,0,102,0,50,21,51,53,2,0.0,0
44,3,95,0,44,0,51,51,0,0.0,0
37,0,76,0,24,24262,40,53,14,1.0,A5
37,0,83,0,34,29,168,49,4,1.0,A6
37,0,104,2,18,0,67,86,18,0.0,0
49,0,77,0,50,14,29,28,0,0.0,0
37,2,81,0,36,11,44,44,0,0.0,0
55,0,85,0,54,2,30,31,2,0.0,0
53,1,81,0,54,457,27,26,0,0.0,0
37,4,78,1,16,1,41,63,22,0.0,0
38,0,93,5,38,3,168,55,0,1.0,A6
40,0,100,1,38,24262,60,62,2,1.0,A5
41,4,77,0,38,13,37,39,476,1.0,A8
38,0,77,2,38,0,39,38,0,0.0,0
38,0,109,6,537,0,71,71,0,1.0,A4
37,0,97,0,28,14,60,69,8,0.0,0
51,0,81,0,50,1,30,32,2,0.0,0
43,0,83,5,42,13,39,41,2,0.0,0
56,0,83,0,56,3,27,26,0,0.0,0
37,0,78,0,0,4,42,78,36,0.0,0
43,0,76,0,42,18,33,35,2,0.0,0
53,2,84,6302,54,0,30,30,0,1.0,A3
51,0,77,0,50,10,26,28,2,0.0,0
44,3,85,0,44,15,41,41,0,0.0,0
37,0,238,0,12,11,43,67,24,1.0,A2
37,0,81,0,24,24,168,58,14,1.0,A6
37,2,80,0,34,2,43,46,476,1.0,A8
37,0,76,0,20,7,39,55,16,0.0,0
48,0,86,0,50,31,38,37,0,0.0,0
37,0,76,0,34,6,39,43,4,0.0,0
37,0,77,0,16,1,40,61,22,0.0,0
42,0,83,2,42,0,41,42,476,1.0,A8
45,1,83,6302,44,2,38,39,2,1.0,A3
108,2,102,1,46,0,55,55,0,1.0,A0
37,5,106,2,36,5,69,69,0,0.0,0
45,2,81,1,44,0,37,37,0,0.0,0
43,1,77,0,42,15,34,35,2,0.0,0
51,1,76,7,50,24262,25,27,2,1.0,A5
49,3,81,0,46,19,33,35,2,0.0,0
37,5,76,0,38,13,38,37,0,0.0,0
44,1,85,6,44,16,41,41,0,0.0,0
43,3,87,0,42,0,44,46,2,0.0,0
37,0,77,4,28,0,40,424,8,1.0,A7
59,0,86,0,56,25,28,30,2,0.0,0
53,0,78,0,52,0,25,26,2,0.0,0
53,0,84,0,54,3,30,30,0,0.0,0
43,5,78,0,42,11,35,37,2,0.0,0
37,0,77,5,8,0,41,70,28,0.0,0
56,0,96,0,54,16,40,42,2,0.0,0
48,0,86,0,46,4,38,40,2,0.0,0
54,0,84,2,54,0,30,30,0,0.0,0
37,0,95,0,20,11,58,75,16,0.0,0
45,4,87,0,46,20,42,41,0,0.0,0
41,1,77,0,42,24262,37,36,0,1.0,A5
37,0,77,2,20,6,40,56,16,0.0,0
42,0,76,0,42,1,35,35,0,0.0,0
44,2,82,6302,42,24,38,41,2,1.0,A3
108,0,79,0,18,4,42,61,18,1.0,A0
47,3,87,5,46,0,168,41,0,1.0,A6
41,0,78,4,42,12,37,37,0,0.0,0
43,0,77,1,42,0,34,36,2,0.0,0
47,2,82,0,46,0,34,35,0,0.0,0
56,0,86,0,56,12,31,30,0,0.0,0
42,0,77,1,42,0,35,36,0,0.0,0
48,2,81,0,46,9,33,35,2,0.0,0
37,0,79,0,30,11,43,48,6,0.0,0
37,0,106,6,36,0,69,70,2,0.0,0
58,4,84,0,56,0,26,27,0,0.0,0
43,1,86,0,44,7,43,42,0,0.0,0
42,0,82,4,42,0,39,41,2,0.0,0
42,0,78,3,42,0,36,37,2,0.0,0
45,2,76,2,44,0,31,424,2,1.0,A7
37,0,81,4,36,2,43,44,2,0.0,0
39,4,83,1,38,0,44,44,0,0.0,0
37,0,103,0,18,8,66,85,18,0.0,0
108,0,88,0,50,23,39,39,0,1.0,A0
45,1,80,0,44,2,35,36,2,0.0,0
44,4,89,0,42,30,45,48,2,0.0,0
51,2,88,0,52,8,37,36,0,0.0,0
108,0,76,2,42,23,32,34,2,1.0,A0
56,0,82,6,54,24,26,28,2,0.0,0
51,0,86,2,50,18,36,37,2,0.0,0
62,0,109,6,60,0,168,50,2,1.0,A6
43,0,96,0,42,2,53,55,2,0.0,0
43,3,80,0,42,0,37,39,2,0.0,0
53,0,84,0,52,6,31,32,2,0.0,0
37,0,77,1,20,5,41,98,58,0.0,0
43,5,83,0,42,0,40,41,2,0.0,0
67,0,112,0,68,0,45,45,0,0.0,0
37,0,90,210,6,0,53,85,32,0.0,0
56,0,97,0,54,8,41,43,2,0.0,0
37,0,93,0,26,0,55,67,12,0.0,0
41,1,80,0,38,30,39,41,2,0.0,0
37,0,91,0,10,22,53,81,28,0.0,0
53,0,84,0,52,10,31,32,2,0.0,0
39,4,76,0,38,0,37,37,0,0.0,0
37,0,80,0,20,19,43,59,476,1.0,A8
37,0,77,3,28,23,40,48,8,0.0,0
58,2,86,0,56,0,29,30,0,0.0,0
46,0,102,0,46,3,57,56,0,0.0,0
41,0,86,0,42,20,45,44,0,0.0,0
38,0,82,1,38,1,44,43,0,0.0,0
37,0,78,0,2,22,41,75,34,0.0,0
37,0,76,0,34,7,39,43,4,0.0,0
46,1,79,0,46,0,33,32,0,0.0,0
50,1,78,0,50,0,28,29,476,1.0,A8
45,3,81,0,46,10,36,35,0,0.0,0
37,0,76,1,36,0,39,40,0,0.0,0
53,0,84,0,537,9,31,30,0,1.0,A4
44,0,88,0,42,14,44,46,2,0.0,0
59,0,86,0,56,4,27,29,2,0.0,0
45,31,83,0,44,259,38,39,0,0.0,0
41,2,238,0,42,10,52,52,0,1.0,A2
46,0,86,0,44,15,41,42,2,0.0,0
46,0,83,0,46,15,37,36,0,0.0,0
37,0,78,0,6,6,41,73,32,0.0,0
51,3,81,0,52,10,30,30,0,0.0,0
53,0,103,0,52,4,50,51,2,0.0,0
39,0,79,1,38,0,39,40,0,0.0,0
49,0,83,3,46,13,34,37,2,0.0,0
43,0,106,0,42,9,62,64,2,0.0,0
37,0,79,1,26,0,42,53,12,0.0,0
55,0,86,3,56,31,31,30,0,0.0,0
44,4,79,0,44,15,35,35,0,0.0,0
45,5,82,0,44,0,37,38,0,0.0,0
51,0,79,0,52,4,27,27,0,0.0,0
56,1,95,0,56,12,40,39,0,0.0,0
47,0,107,4,46,0,60,60,0,0.0,0
37,0,79,1,8,9,42,71,28,0.0,0
37,0,74,0,28,16,168,46,8,1.0,A6
44,0,77,0,44,9,34,34,0,0.0,0
41,2,77,6302,42,19,36,35,0,1.0,A3
49,0,86,0,537,19,38,40,2,1.0,A4
49,1,86,0,50,5,38,37,0,0.0,0
40,0,87,3,38,0,47,48,2,0.0,0
41,1,238,0,42,17,43,43,0,1.0,A2
41,0,86,0,38,23,46,48,2,0.0,0
41,0,88,5,38,14,48,50,2,0.0,0
41,3,79,0,42,5,38,37,476,1.0,A8
55,1,81,2,54,0,25,26,2,0.0,0
43,0,108,6,44,18,64,64,0,0.0,0
44,0,85,4,44,1,41,41,0,0.0,0
37,6476,80,0,16,20,43,65,22,1.0,A1
41,0,86,0,38,19,46,424,2,1.0,A7
39,1,93,0,36,17,54,57,2,0.0,0
37,0,107,0,30,8,70,76,6,0.0,0
45,0,82,0,44,14,37,38,2,0.0,0
44,1,77,1,44,5,34,34,0,0.0,0
44,2,84,0,44,3,40,40,0,0.0,0
51,0,85,0,50,28,34,424,2,1.0,A7
37,0,78,0,18,1,42,60,18,0.0,0
44,0,77,6302,44,0,33,33,0,1.0,A3
38,3,93,2,28,3,55,64,10,0.0,0
37,2,83,0,36,0,45,46,2,0.0,0
39,0,81,4,38,0,41,42,0,0.0,0
55,1,81,0,54,0,26,26,0,0.0,0
44,0,87,0,42,17,43,46,2,0.0,0
40,1,84,0,38,0,44,46,2,0.0,0
42,0,87,3,42,0,45,46,0,0.0,0
44,0,83,0,44,12,39,39,0,0.0,0
52,2,86,0,54,30,33,32,0,0.0,0
46,0,81,0,46,3,35,34,0,0.0,0
37,2,107,0,537,23,69,71,2,1.0,A4
37,0,104,0,24,19,67,81,14,0.0,0
45,0,78,0,46,6,33,32,0,0.0,0
49,0,78,0,50,8,29,29,0,0.0,0
37,0,75,0,28,12,38,46,8,0.0,0
37,0,78,2,6,0,41,86,44,0.0,0
37,0,76,7,28,5,39,47,8,0.0,0
53,0,81,0,52,19,28,30,2,0.0,0
37,0,83,0,28,7,46,54,8,0.0,0
41,0,80,0,38,4,39,41,2,0.0,0
49,2,81,0,50,0,31,32,0,0.0,0
37,0,86,0,38,19,48,47,0,0.0,0
37,0,76,0,28,10,39,47,8,0.0,0
44,4,82,0,42,4,38,41,2,0.0,0
41,4,88,0,38,23,47,50,2,0.0,0
50,0,83,6,50,0,33,34,2,0.0,0
37,0,102,4,28,0,65,73,8,0.0,0
37,0,77,1,26,6,41,52,10,0.0,0
51,1,81,0,50,6,30,32,2,0.0,0
41,0,79,6302,38,18,38,41,2,1.0,A3
37,0,77,0,20,4,40,57,16,0.0,0
37,0,106,0,36,11,68,69,2,0.0,0
38,1,238,0,38,18,38,37,0,1.0,A2
37,0,107,0,30,9,70,424,6,1.0,A7
37,0,79,0,10,14,43,69,26,0.0,0
53,0,84,0,54,18,31,30,0,0.0,0
43,1,86,1,44,12,42,424,0,1.0,A7
53,0,83,3,54,3,30,28,0,0.0,0
108,1,78,0,42,8,37,37,0,1.0,A0
37,0,90,104,537,0,53,85,32,1.0,A4
41,2,78,1,42,2,37,37,0,0.0,0
53,0,104,0,54,3,50,49,0,0.0,0
37,0,95,0,18,5,58,77,20,0.0,0
52,0,91,0,52,0,39,39,0,0.0,0
45,1,79,0,44,0,34,35,476,1.0,A8
37,6476,83,0,34,12,46,49,4,1.0,A1
41,0,87,3,38,11,46,48,2,0.0,0
54,6476,78,0,54,0,24,24,0,1.0,A1
41,0,87,3,42,25,46,46,0,0.0,0
38,0,77,0,36,29,40,41,2,0.0,0
44,0,81,1,44,10,38,37,0,0.0,0
41,0,84,4,38,16,44,46,2,0.0,0
38,1,91,1,6,5,53,86,32,0.0,0
42,3,84,4,42,24262,42,43,0,1.0,A5
51,1,78,0,50,15,27,29,2,0.0,0
40,0,102,0,38,0,62,63,2,0.0,0
46,1,76,5,46,0,30,29,0,0.0,0
37,0,84,2,26,20,47,58,12,0.0,0
49,0,80,0,46,12,168,34,2,1.0,A6
45,5,76,0,44,0,31,32,2,0.0,0
52,5,82,0,52,0,30,30,0,0.0,0
37,0,76,0,18,9,39,58,18,0.0,0
44,1,81,0,537,4,37,37,0,1.0,A4
53,4,238,0,52,8,28,29,2,1.0,A2
37,0,92,0,6,2,55,86,32,0.0,0
45,0,88,0,44,9,43,44,2,0.0,0
49,1,77,0,50,2,28,28,0,0.0,0
41,0,79,2,38,16,38,40,2,0.0,0
37,0,77,2,34,16,40,44,4,0.0,0
49,0,81,1,50,7,32,32,0,0.0,0
48,0,88,7,46,1,40,42,2,0.0,0
59,0,87,0,60,24262,28,28,0,1.0,A5
37,0,77,1,36,9,39,41,2,0.0,0
37,0,77,0,18,7,40,95,54,0.0,0
45,1,79,0,44,26,33,35,2,0.0,0
45,0,88,2,44,15,42,44,2,0.0,0
50,4,86,0,50,0,36,37,2,0.0,0
54,3,77,0,54,0,23,23,0,0.0,0
37,4,76,0,36,11,39,40,2,0.0,0
38,3,90,0,36,9,52,53,2,0.0,0
37,0,105,0,18,0,68,87,20,0.0,0
38,3,106,0,38,19,68,67,0,0.0,0
46,2,83,0,44,25,37,39,2,0.0,0
43,3,81,0,42,0,38,39,2,0.0,0
37,1,77,5,2,0,39,424,40,1.0,A7
37,0,76,2,26,4,39,50,10,0.0,0
50,1,80,2,50,0,30,31,0,0.0,0
51,0,102,0,50,5,51,53,2,0.0,0
40,3,84,1,38,0,44,46,2,0.0,0
43,0,80,0,44,16,37,36,0,0.0,0
38,4,76,0,36,11,38,40,2,0.0,0
52,5,91,0,52,0,39,39,0,0.0,0
53,0,88,6302,52,15,35,36,2,1.0,A3
45,3,77,0,44,0,32,34,2,0.0,0
37,0,77,0,20,28,40,56,16,0.0,0
42,5,93,0,42,1,52,52,0,0.0,0
37,0,75,5,24,0,38,52,14,0.0,0
45,3,83,0,46,7,37,36,0,0.0,0
55,0,81,0,54,7,26,27,2,0.0,0
49,0,86,0,46,7,37,39,2,0.0,0
53,0,83,0,52,5,30,32,2,0.0,0
37,0,80,8,10,6,43,70,26,0.0,0
37,0,76,0,16,14,39,61,22,0.0,0
39,6,76,0,2,0,38,79,42,0.0,0
46,2,93,0,46,0,47,47,0,0.0,0
53,0,80,0,54,3,27,424,0,1.0,A7
51,0,102,0,52,17,51,50,0,0.0,0
37,0,94,0,16,1,57,79,22,0.0,0
45,0,77,5,44,0,32,33,2,0.0,0
40,0,97,1,38,0,57,58,2,0.0,0
49,0,95,0,50,19,47,46,0,0.0,0
41,0,79,0,38,21,38,40,2,0.0,0
48,3,95,0,46,4,168,49,2,1.0,A6
46,0,87,0,46,11,41,41,0,0.0,0
46,0,76,0,46,16,168,30,0,1.0,A6
42,1,76,3,42,0,34,35,0,0.0,0
51,0,238,0,52,11,29,28,0,1.0,A2
47,2,81,0,46,0,35,35,0,0.0,0
37,0,79,0,16,19,43,64,22,0.0,0
56,0,79,0,56,11,23,22,0,0.0,0
50,1,107,0,50,0,56,58,2,0.0,0
37,0,81,3,38,17,168,43,0,1.0,A6
37,0,77,0,10,16,40,66,26,0.0,0
37,0,76,0,28,29,40,48,8,0.0,0
40,0,86,0,38,0,46,47,2,0.0,0
47,2,86,3,46,0,39,39,0,0.0,0
41,1,76,1,38,24262,35,37,2,1.0,A5
38,5,105,0,34,0,67,71,4,0.0,0
50,3,107,1,50,0,57,58,0,0.0,0
45,0,82,10,537,0,37,38,0,1.0,A4
37,0,81,2,38,18,43,42,0,0.0,0
56,0,79,0,54,30,22,24,2,0.0,0
49,4,85,0,50,0,36,36,0,0.0,0
37,0,81,0,4,24,44,86,42,0.0,0
54,2,81,0,54,0,27,26,0,0.0,0
37,0,97,6,26,5,60,71,12,0.0,0
37,0,93,6,8,0,55,85,30,0.0,0
44,5,83,0,42,30,40,42,2,0.0,0
46,1,76,0,46,24262,29,29,0,1.0,A5
37,0,106,17,28,0,69,78,8,0.0,0
108,1,83,0,42,12,41,41,0,1.0,A0
45,0,86,1,44,4,41,42,2,0.0,0
108,0,87,0,50,30,39,38,0,1.0,A0
37,0,76,2,38,11,39,37,0,0.0,0
46,2,88,0,46,0,42,41,0,0.0,0
39,1,85,2,38,0,46,46,0,0.0,0
38,0,77,0,38,12,39,38,0,0.0,0
56,5,97,0,54,1,40,42,2,0.0,0
49,0,78,7,50,0,29,424,0,1.0,A7
38,2,82,2,38,4,44,43,0,0.0,0
37,0,105,0,18,0,68,87,18,0.0,0
37,5,76,0,36,0,39,40,0,0.0,0
47,1,78,2,46,0,31,32,0,0.0,0
37,0,83,0,28,29,46,54,8,0.0,0
37,2,83,0,34,0,47,424,2,1.0,A7
37,0,79,1,12,1,43,66,24,0.0,0
48,5,83,0,46,0,34,36,2,0.0,0
47,2,88,1,46,0,42,42,0,0.0,0
37,0,80,0,18,27,43,62,476,1.0,A8
37,3,104,0,24,11,67,80,14,0.0,0
37,0,75,0,20,6,38,54,16,0.0,0
37,0,77,3,30,18,40,46,6,0.0,0
41,3,76,0,42,7,34,34,0,0.0,0
48,0,83,0,46,1,34,36,2,0.0,0
57,5,80,3,56,0,23,23,0,0.0,0
37,0,83,0,4,12,47,88,42,0.0,0
49,0,81,0,50,28,33,32,0,0.0,0
45,0,86,1,44,1,40,42,2,0.0,0
45,2,81,0,44,0,36,37,0,0.0,0
56,0,85,0,56,6,29,28,0,0.0,0
55,4,83,0,54,0,29,29,0,0.0,0
43,0,84,3,42,0,41,43,2,0.0,0
53,0,83,0,52,7,30,32,2,0.0,0
108,4,78,0,52,15,27,26,0,1.0,A0
37,0,238,3,16,17,67,89,22,1.0,A2
37,0,76,0,26,15,40,50,10,0.0,0
45,3,93,4,44,0,48,49,0,0.0,0
45,1,83,0,46,31,38,36,0,0.0,0
53,0,102,0,52,21,49,50,2,0.0,0
47,4,238,1,46,2,30,31,0,1.0,A2
46,2,86,0,537,4,41,40,0,1.0,A4
40,0,81,5,38,0,41,42,2,0.0,0
43,0,85,4,42,0,42,44,2,0.0,0
41,2,108,1,42,0,67,67,0,0.0,0
37,6476,79,0,24,23,43,56,14,1.0,A1
51,0,108,8,50,0,57,58,2,0.0,0
47,2,95,5,46,0,48,48,0,0.0,0
55,0,95,0,54,5,40,41,2,0.0,0
56,0,86,0,56,16,31,30,0,0.0,0
53,0,83,0,54,10,30,29,0,0.0,0
56,0,95,0,54,29,40,41,2,0.0,0
42,3,108,0,42,24262,66,67,2,1.0,A5
53,0,87,0,54,9,34,33,0,0.0,0
37,0,90,0,36,12,53,54,2,0.0,0
40,0,81,8,38,0,40,42,2,0.0,0
52,2,84,0,52,0,33,33,0,0.0,0
38,0,104,2,38,0,66,66,0,0.0,0
108,0,82,0,46,23,37,35,0,1.0,A0
37,0,84,0,26,10,47,58,10,0.0,0
47,3,238,2,46,0,40,40,0,1.0,A2
47,0,79,0,46,0,33,33,0,0.0,0
41,0,78,0,42,1,37,37,0,0.0,0
37,0,74,0,28,31,38,424,8,1.0,A7
108,1,78,0,52,3,25,26,2,1.0,A0
49,1,86,0,50,4,37,37,476,1.0,A8
47,0,109,6,46,0,63,63,0,0.0,0
37,0,79,0,28,6,43,51,8,0.0,0
42,0,238,2,42,0,43,44,2,1.0,A2
45,0,79,3,44,4,34,35,0,0.0,0
51,0,88,1,52,2,36,36,0,0.0,0
41,5,84,0,38,23,168,46,2,1.0,A6
49,5,88,0,50,0,39,39,0,0.0,0
37,0,107,12,28,0,70,78,8,0.0,0
37,0,80,5,36,0,43,44,0,0.0,0
55,5,108,0,54,2,52,53,2,0.0,0
56,3,82,0,56,14,26,25,0,0.0,0
51,0,87,6,52,0,36,35,0,0.0,0
37,0,80,0,0,17,43,80,36,0.0,0
40,2,75,0,38,0,35,36,2,0.0,0
53,0,86,0,52,23,33,34,2,0.0,0
49,0,238,0,50,18,37,37,0,1.0,A2
37,0,76,0,28,23,39,47,8,0.0,0
44,0,76,0,42,17,32,35,2,0.0,0
38,0,92,0,20,7,54,71,18,0.0,0
37,1,79,0,20,11,42,58,16,0.0,0
37,0,95,0,28,24262,58,67,8,1.0,A5
42,1,77,0,42,0,36,36,0,0.0,0
39,5,102,0,38,0,63,63,0,0.0,0
48,0,83,0,46,6,34,36,2,0.0,0
49,0,95,6,50,1,168,46,0,1.0,A6
37,0,106,0,28,3,168,77,8,1.0,A6
59,0,86,4,56,16,27,29,2,0.0,0
45,1,87,0,44,17,42,43,2,0.0,0
48,2,83,1,46,2,35,37,2,0.0,0
52,1,88,0,52,1,36,37,0,0.0,0
50,1,80,1,50,0,30,31,2,0.0,0
37,0,76,0,34,29,40,43,2,0.0,0
43,1,76,0,42,8,32,34,2,0.0,0
43,0,95,0,44,25,52,51,0,0.0,0
41,2,77,0,38,4,37,39,2,0.0,0
41,1,80,0,38,13,39,41,2,0.0,0
37,0,77,0,34,11,41,44,2,0.0,0
45,0,85,0,44,10,40,41,2,0.0,0
51,1,83,0,52,31,32,31,0,0.0,0
45,0,85,1,46,12,40,39,0,0.0,0
37,3,79,0,34,0,42,45,4,0.0,0
49,0,81,0,50,22,32,32,0,0.0,0
44,0,97,1,42,29,53,55,2,0.0,0
49,0,100,0,46,22,52,54,2,0.0,0
47,3,80,0,46,0,33,34,0,0.0,0
45,0,76,7,44,0,32,32,0,0.0,0
37,0,76,7,537,7,39,50,12,1.0,A4
37,0,80,0,12,1,43,67,476,1.0,A8
43,0,81,1,44,27,37,37,0,0.0,0
58,2,86,0,60,28,27,26,0,0.0,0
37,0,79,6302,20,5,41,58,16,1.0,A3
37,0,81,0,26,20,44,55,10,0.0,0
45,0,74,4,44,0,29,30,2,0.0,0
37,0,76,6,36,2,38,39,2,0.0,0
37,0,79,4,36,3,41,43,2,0.0,0
37,0,81,2,36,0,44,44,0,0.0,0
53,1,77,0,52,27,25,26,2,0.0,0
39,4,86,0,38,0,48,48,0,0.0,0
56,0,79,0,56,0,22,22,0,0.0,0
37,1,83,0,36,3,46,424,2,1.0,A7
44,0,85,0,44,7,41,41,0,0.0,0
